fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,BIOME,CONTINENT
"85",5692,1.36579791996963,2.44318181818182,Alberta-British Columbia foothills forests,"1319",,,Alberta_BC_foothills_forest,5,North America
"86",5693,1.76269595684292,3.14772727272727,Alberta-British Columbia foothills forests,"1867",,,Alberta_BC_foothills_forest,5,North America
"87",5694,3.50097422376595,1.09090909090909,Alberta-British Columbia foothills forests,"301",,,Alberta_BC_foothills_forest,5,North America
"88",5772,0.471063492279506,25.5,Alberta-British Columbia foothills forests,"564",,,Alberta_BC_foothills_forest,5,North America
"89",5773,1.98061885773503,24.4404761904762,Alberta-British Columbia foothills forests,"5172",,,Alberta_BC_foothills_forest,5,North America
"90",5774,1.72782211985964,4.23809523809524,Alberta-British Columbia foothills forests,"3039",,,Alberta_BC_foothills_forest,5,North America
"91",5775,0.486853399127272,2.51190476190476,Alberta-British Columbia foothills forests,"1164",,,Alberta_BC_foothills_forest,5,North America
"92",5776,0.674370337941535,4.41666666666667,Alberta-British Columbia foothills forests,"3900",,,Alberta_BC_foothills_forest,5,North America
"93",5777,2.1463859181058,0.55952380952381,Alberta-British Columbia foothills forests,"186",,,Alberta_BC_foothills_forest,5,North America
"94",5854,19.3466186375179,13.2954545454545,Alberta-British Columbia foothills forests,"1119",,,Alberta_BC_foothills_forest,5,North America
"95",5855,4.82811288332854,7,Alberta-British Columbia foothills forests,"3877",,,Alberta_BC_foothills_forest,5,North America
"96",5856,0.970420343984598,3.48863636363636,Alberta-British Columbia foothills forests,"499",,,Alberta_BC_foothills_forest,5,North America
"97",5857,0.939284208542462,3.86363636363636,Alberta-British Columbia foothills forests,"817",,,Alberta_BC_foothills_forest,5,North America
"98",5858,0.325468185431316,5.93181818181818,Alberta-British Columbia foothills forests,"5592",,,Alberta_BC_foothills_forest,5,North America
"99",5859,3.52249761072846,0.693181818181818,Alberta-British Columbia foothills forests,"446",,,Alberta_BC_foothills_forest,5,North America
"100",5937,3.50417484043744,8.80232558139535,Alberta-British Columbia foothills forests,"383",,,Alberta_BC_foothills_forest,5,North America
"101",5939,2.96959670689355,4.18604651162791,Alberta-British Columbia foothills forests,"59",,,Alberta_BC_foothills_forest,5,North America
