fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer,_CMI_mean
"54",10950,0.0463964127787544,3.41860465116279,New England-Acadian forests,"1312",,,Acadian_forest,0.639999985694885
"55",10951,0.00285993035350672,6.12790697674419,New England-Acadian forests,"4144",,,Acadian_forest,0.664883730023406
"56",10952,0.0028112111770693,1.52325581395349,New England-Acadian forests,"1064",,,Acadian_forest,0.639999985694885
"57",11033,0.958921509869148,2.85227272727273,New England-Acadian forests,"2786",,,Acadian_forest,0.663636370138688
"58",11034,0.644585236359179,2.84090909090909,New England-Acadian forests,"2559",,,Acadian_forest,0.694799993038178
"59",11114,0,1.04651162790698,New England-Acadian forests,"617",,,Acadian_forest,0.667499989271164
"60",11115,0.029826239381671,5.46511627906977,New England-Acadian forests,"4888",,,Acadian_forest,0.740285720143999
"61",11196,0,0.313953488372093,New England-Acadian forests,"374",,,Acadian_forest,0.720000028610229
"62",11197,0.0188286820089509,3.48837209302326,New England-Acadian forests,"819",,,Acadian_forest,0.759999990463257
"63",11197,0.0188286820089509,3.48837209302326,New England-Acadian forests,"3996",,,Acadian_forest,0.750810793928198
"64",11277,0.0443932026786958,1.76136363636364,New England-Acadian forests,"616",,,Acadian_forest,0.779999971389771
"65",11278,0,4.52272727272727,New England-Acadian forests,"4747",,,Acadian_forest,0.74300000667572
"66",11279,0,0.386363636363636,New England-Acadian forests,"157",,,Acadian_forest,
"67",11360,0,1.22093023255814,New England-Acadian forests,"877",,,Acadian_forest,0.75
"68",11361,0.0115278260106636,1.51162790697674,New England-Acadian forests,"548",,,Acadian_forest,0.779999971389771
"69",1593,0,0.988372093023256,Alaska Peninsula montane taiga,"31",,,Alaska_Peninsula_montane_taiga,0.870000004768372
"70",1675,0,3.5,Alaska Peninsula montane taiga,"1926",,,Alaska_Peninsula_montane_taiga,0.853333339804695
"71",1756,0,3.98863636363636,Alaska Peninsula montane taiga,"845",,,Alaska_Peninsula_montane_taiga,0.795000001788139
"72",1757,0,0.625,Alaska Peninsula montane taiga,"414",,,Alaska_Peninsula_montane_taiga,
"73",1838,0,4.66279069767442,Alaska Peninsula montane taiga,"100",,,Alaska_Peninsula_montane_taiga,0.773669815101877
"74",1839,0,1.5,Alaska Peninsula montane taiga,"1688",,,Alaska_Peninsula_montane_taiga,0.773684216173072
"75",1920,0,4.94186046511628,Alaska Peninsula montane taiga,"2882",,,Alaska_Peninsula_montane_taiga,0.809565233147663
"76",2002,0,9.96590909090909,Alaska Peninsula montane taiga,"2615",,,Alaska_Peninsula_montane_taiga,0.815172400967828
"77",2003,0,0.193181818181818,Alaska Peninsula montane taiga,"41",,,Alaska_Peninsula_montane_taiga,
"78",2083,0,11.4302325581395,Alaska Peninsula montane taiga,"2666",,,Alaska_Peninsula_montane_taiga,0.701818188031515
