fid,id,fire_pct,_mean,ECO_NAME,area,fired_eurasia_4326_pc,fired_russia_china_japan_4326_pc,layer
"1",10052,0,2.51162790697674,New England-Acadian forests,"1690",,,Acadian_forest
"2",10053,0,2.94186046511628,New England-Acadian forests,"636",,,Acadian_forest
"3",10131,0.00285954761364544,4.54651162790698,New England-Acadian forests,"3246",,,Acadian_forest
"4",10132,0.00562234276852615,2.37209302325581,New England-Acadian forests,"5462",,,Acadian_forest
"5",10133,0,1.01162790697674,New England-Acadian forests,"6601",,,Acadian_forest
"6",10134,0,2.96511627906977,New England-Acadian forests,"3934",,,Acadian_forest
"7",10212,0.0249178134494076,5.32954545454545,New England-Acadian forests,"205",,,Acadian_forest
"8",10213,0.0445328610064369,2.40909090909091,New England-Acadian forests,"6094",,,Acadian_forest
"9",10214,0,2.25,New England-Acadian forests,"6887",,,Acadian_forest
"10",10215,0,2.01136363636364,New England-Acadian forests,"7394",,,Acadian_forest
"11",10216,0.0109701104182117,4.56818181818182,New England-Acadian forests,"4280",,,Acadian_forest
"12",10293,0.335871018566499,3.97674418604651,New England-Acadian forests,"108",,,Acadian_forest
"13",10294,0,2.91860465116279,New England-Acadian forests,"6950",,,Acadian_forest
"14",10295,0,4.2093023255814,New England-Acadian forests,"7588",,,Acadian_forest
"15",10296,0.00281116176104208,4.38372093023256,New England-Acadian forests,"7718",,,Acadian_forest
"16",10297,0.00827060906756375,4.7093023255814,New England-Acadian forests,"1170",,,Acadian_forest
"17",10375,0.0591473819763471,3.03488372093023,New England-Acadian forests,"933",,,Acadian_forest
"18",10376,0,3.59302325581395,New England-Acadian forests,"7241",,,Acadian_forest
"19",10377,0,5.46511627906977,New England-Acadian forests,"7523",,,Acadian_forest
"20",10378,0,2.61627906976744,New England-Acadian forests,"5674",,,Acadian_forest
"21",10379,0.0055635446806757,2.84883720930233,New England-Acadian forests,"1173",,,Acadian_forest
"22",10456,0.00603099718405398,5.29545454545455,New England-Acadian forests,"2470",,,Acadian_forest
