pool,source,1993-2000,2001-2010,2011-2019,1993-2019
delta_C,observation-based,0.8 ± 0.5,1.3 ± 0.5,1.7 ± 0.6,1.3 ± 0.5
delta_C,global vegetation models,1.2 ± 0.6,1.2 ± 0.4,1.6 ± 0.6,1.3 ± 0.5
delta_B,observation-based,-0.6 ± 0.6,0.2 ± 0.3,0.5 ± 0.4,0.1 ± 0.2
delta_B,global vegetation models,0.7 ± 0.6,0.8 ± 0.5,1.0 ± 0.6,0.8 ± 0.5
