stat,pool,time,period,0
mean,delta_C,South Asia,1996-2000,19515641431060.703
mean,delta_C,South Asia,2001-2010,20489605281102.793
mean,delta_C,South Asia,2011-2019,37963925580340.57
mean,delta_C,South Asia,1996-2019,26839566257891.527
mean,delta_C,Southeast Asia,1996-2000,33649649083663.5
mean,delta_C,Southeast Asia,2001-2010,-40199148212078.04
mean,delta_C,Southeast Asia,2011-2019,18066463710601.39
mean,delta_C,Southeast Asia,1996-2019,-2964377637793.768
mean,delta_C,Global,1996-2000,1433487230569840.8
mean,delta_C,Global,2001-2010,1165584833833044.5
mean,delta_C,Global,2011-2019,1612401186302275.2
mean,delta_C,Global,1996-2019,1388953965329171.8
std,delta_B,Africa,1996-2000,205688201665530.66
std,delta_B,Africa,2001-2010,113134244401588.78
std,delta_B,Africa,2011-2019,164788767006892.16
std,delta_B,Africa,1996-2019,141361465334694.88
std,delta_B,Australia,1996-2000,107677661883539.38
std,delta_B,Australia,2001-2010,29180722894631.676
std,delta_B,Australia,2011-2019,65335007580018.18
std,delta_B,Australia,1996-2019,21272727115163.1
std,delta_B,East Asia,1996-2000,107909096801615.67
std,delta_B,East Asia,2001-2010,30735720219216.03
std,delta_B,East Asia,2011-2019,109851689976584.86
std,delta_B,East Asia,1996-2019,30883730449282.445
std,delta_B,Europe,1996-2000,42144458054250.21
std,delta_B,Europe,2001-2010,50591982121383.28
std,delta_B,Europe,2011-2019,63436105010465.836
std,delta_B,Europe,1996-2019,50723799121327.664
std,delta_B,North America,1996-2000,98700283018909.42
std,delta_B,North America,2001-2010,93412339167995.48
std,delta_B,North America,2011-2019,112027411546321.53
std,delta_B,North America,1996-2019,94313566410972.25
std,delta_B,Other,1996-2000,12992520113153.703
std,delta_B,Other,2001-2010,11751240743985.059
std,delta_B,Other,2011-2019,13699987678280.19
std,delta_B,Other,1996-2019,8800151230375.652
std,delta_B,Russia,1996-2000,97655376831803.94
std,delta_B,Russia,2001-2010,149791085239619.22
std,delta_B,Russia,2011-2019,119204528133039.84
std,delta_B,Russia,1996-2019,122307281544057.52
std,delta_B,South America,1996-2000,290985595694396.94
std,delta_B,South America,2001-2010,134391841167753.4
std,delta_B,South America,2011-2019,168584081687428.9
std,delta_B,South America,1996-2019,152653889406022.84
std,delta_B,South Asia,1996-2000,26888116309787.438
std,delta_B,South Asia,2001-2010,25199135239046.58
std,delta_B,South Asia,2011-2019,45591047257592.56
std,delta_B,South Asia,1996-2019,26845658902857.855
std,delta_B,Southeast Asia,1996-2000,77548650249465.88
std,delta_B,Southeast Asia,2001-2010,61314467374981.88
std,delta_B,Southeast Asia,2011-2019,70356588147845.54
std,delta_B,Southeast Asia,1996-2019,58592493420713.016
std,delta_B,Global,1996-2000,753755931095231.5
std,delta_B,Global,2001-2010,452332382049715.06
