stat,pool,time,period,0
mean,delta_C,South America,2011-2019,-177088005430830.94
mean,delta_C,South America,1993-2019,-229828609636495.3
mean,delta_C,South Asia,1993-2000,14718732760969.281
mean,delta_C,South Asia,2001-2010,63440346506416.84
mean,delta_C,South Asia,2011-2019,109042005724941.03
mean,delta_C,South Asia,1993-2019,64204865876903.4
mean,delta_C,Southeast Asia,1993-2000,-254468761816983.75
mean,delta_C,Southeast Asia,2001-2010,-18947439236157.75
mean,delta_C,Southeast Asia,2011-2019,-4375066880907.0645
mean,delta_C,Southeast Asia,1993-2019,-83874077363911.52
mean,delta_C,Global,1993-2000,819838470094601.2
mean,delta_C,Global,2001-2010,1307433055674759.8
mean,delta_C,Global,2011-2019,1652791110609501.2
mean,delta_C,Global,1993-2019,1278079937518145.2
std,delta_B,Africa,1993-2000,217185457802703.9
std,delta_B,Africa,2001-2010,229072954059270.3
std,delta_B,Africa,2011-2019,200537461309565.5
std,delta_B,Africa,1993-2019,125728213251435.5
std,delta_B,Australia,1993-2000,131862415762640.1
std,delta_B,Australia,2001-2010,46879223876459.734
std,delta_B,Australia,2011-2019,220320301564324.3
std,delta_B,Australia,1993-2019,84978837106686.77
std,delta_B,East Asia,1993-2000,94282808028456.98
std,delta_B,East Asia,2001-2010,113721946045105.64
std,delta_B,East Asia,2011-2019,85846242365370.53
std,delta_B,East Asia,1993-2019,58079881249712.52
std,delta_B,Europe,1993-2000,70896208737760.12
std,delta_B,Europe,2001-2010,79349533187329.81
std,delta_B,Europe,2011-2019,72246943861239.97
std,delta_B,Europe,1993-2019,43415647821698.34
std,delta_B,North America,1993-2000,166598919773995.72
std,delta_B,North America,2001-2010,61013712407475.82
std,delta_B,North America,2011-2019,280306734475280.0
std,delta_B,North America,1993-2019,108062632421869.31
std,delta_B,Other,1993-2000,20707540978649.082
std,delta_B,Other,2001-2010,19563039187401.066
std,delta_B,Other,2011-2019,73009348274811.38
std,delta_B,Other,1993-2019,26122906561336.6
std,delta_B,Russia,1993-2000,108511950374414.45
std,delta_B,Russia,2001-2010,103419668778185.17
std,delta_B,Russia,2011-2019,184510687230803.25
std,delta_B,Russia,1993-2019,79269058366661.42
std,delta_B,South America,1993-2000,241498500792794.38
std,delta_B,South America,2001-2010,218605722854863.2
std,delta_B,South America,2011-2019,171850699322319.94
std,delta_B,South America,1993-2019,122298346409245.1
std,delta_B,South Asia,1993-2000,31671887498153.81
std,delta_B,South Asia,2001-2010,22495706156742.55
std,delta_B,South Asia,2011-2019,35543801849845.73
std,delta_B,South Asia,1993-2019,17258501441271.213
std,delta_B,Southeast Asia,1993-2000,114237463227284.3
std,delta_B,Southeast Asia,2001-2010,178003444787187.7
std,delta_B,Southeast Asia,2011-2019,75608185506176.44
