stat,pool,time,period,0
mean,delta_C,South Asia,1993-2000,27484609905216.91
mean,delta_C,South Asia,2001-2010,20489605281102.793
mean,delta_C,South Asia,2011-2019,37963925580340.57
mean,delta_C,South Asia,1993-2019,28386972676882.53
mean,delta_C,Southeast Asia,1993-2000,28580777932655.49
mean,delta_C,Southeast Asia,2001-2010,-40199148212078.04
mean,delta_C,Southeast Asia,2011-2019,18066463710601.39
mean,delta_C,Southeast Asia,1993-2019,-398040194967.5555
mean,delta_C,Global,1993-2000,1163499208114197.5
mean,delta_C,Global,2001-2010,1165584833833044.5
mean,delta_C,Global,2011-2019,1612401186302275.2
mean,delta_C,Global,1993-2019,1313905654813499.8
std,delta_B,Africa,1993-2000,134177742552775.98
std,delta_B,Africa,2001-2010,113134244401588.78
std,delta_B,Africa,2011-2019,164788767006892.16
std,delta_B,Africa,1993-2019,124839018152203.75
std,delta_B,Australia,1993-2000,73322314633468.16
std,delta_B,Australia,2001-2010,29180722894631.676
std,delta_B,Australia,2011-2019,65335007580018.18
std,delta_B,Australia,1993-2019,19121543783591.215
std,delta_B,East Asia,1993-2000,100735744781077.95
std,delta_B,East Asia,2001-2010,30735720219216.03
std,delta_B,East Asia,2011-2019,109851689976584.86
std,delta_B,East Asia,1993-2019,28023974060741.12
std,delta_B,Europe,1993-2000,32837000201094.344
std,delta_B,Europe,2001-2010,50591982121383.28
std,delta_B,Europe,2011-2019,63436105010465.836
std,delta_B,Europe,1993-2019,47023630587766.59
std,delta_B,North America,1993-2000,107756434766474.88
std,delta_B,North America,2001-2010,93412339167995.48
std,delta_B,North America,2011-2019,112027411546321.53
std,delta_B,North America,1993-2019,96210390666485.64
std,delta_B,Other,1993-2000,12539960234989.088
std,delta_B,Other,2001-2010,11751240743985.059
std,delta_B,Other,2011-2019,13699987678280.19
std,delta_B,Other,1993-2019,7595573708538.26
std,delta_B,Russia,1993-2000,100414576263949.9
std,delta_B,Russia,2001-2010,149791085239619.22
std,delta_B,Russia,2011-2019,119204528133039.84
std,delta_B,Russia,1993-2019,120554975718756.14
std,delta_B,South America,1993-2000,178544026839769.12
std,delta_B,South America,2001-2010,134391841167753.4
std,delta_B,South America,2011-2019,168584081687428.9
std,delta_B,South America,1993-2019,139556048035597.34
std,delta_B,South Asia,1993-2000,17148106551960.383
std,delta_B,South Asia,2001-2010,25199135239046.58
std,delta_B,South Asia,2011-2019,45591047257592.56
std,delta_B,South Asia,1993-2019,25045128938653.504
std,delta_B,Southeast Asia,1993-2000,68182589853703.52
std,delta_B,Southeast Asia,2001-2010,61314467374981.88
std,delta_B,Southeast Asia,2011-2019,70356588147845.54
std,delta_B,Southeast Asia,1993-2019,57971955055990.99
std,delta_B,Global,1993-2000,553639494929880.44
std,delta_B,Global,2001-2010,452332382049715.06
std,delta_B,Global,2011-2019,555188998805265.94
std,delta_B,Global,1993-2019,477291129510935.7
std,delta_OC,Africa,1993-2000,97154250282605.25
std,delta_OC,Africa,2001-2010,110593380486350.42
std,delta_OC,Africa,2011-2019,121606791764446.72
std,delta_OC,Africa,1993-2019,100581752267264.44
std,delta_OC,Australia,1993-2000,104962693358652.67
std,delta_OC,Australia,2001-2010,42791616361895.89
std,delta_OC,Australia,2011-2019,76327256184464.47
std,delta_OC,Australia,1993-2019,53697924371957.234
std,delta_OC,East Asia,1993-2000,90536663377001.98
std,delta_OC,East Asia,2001-2010,65620307677231.35
std,delta_OC,East Asia,2011-2019,95985133987368.16
std,delta_OC,East Asia,1993-2019,60915486677110.555
std,delta_OC,Europe,1993-2000,100068496764780.89
std,delta_OC,Europe,2001-2010,115587460610397.56
std,delta_OC,Europe,2011-2019,77086989357940.8
std,delta_OC,Europe,1993-2019,93485954602383.5
std,delta_OC,North America,1993-2000,109921895465902.23
std,delta_OC,North America,2001-2010,107694523597852.56
std,delta_OC,North America,2011-2019,131195747449765.4
std,delta_OC,North America,1993-2019,104689267687989.8
std,delta_OC,Other,1993-2000,25672342914497.215
std,delta_OC,Other,2001-2010,22499909133439.96
std,delta_OC,Other,2011-2019,21666396348315.96
std,delta_OC,Other,1993-2019,20923295941294.69
std,delta_OC,Russia,1993-2000,116182250975366.56
