stat,pool,time,period,0
mean,delta_OC,East Asia,1996-2000,148606875100526.38
mean,delta_OC,East Asia,2001-2010,334979937225354.94
mean,delta_OC,East Asia,2011-2019,305291968151401.06
mean,delta_OC,East Asia,1996-2019,285019227546616.3
mean,delta_OC,Europe,1996-2000,302596186915536.5
mean,delta_OC,Europe,2001-2010,221555707745636.16
mean,delta_OC,Europe,2011-2019,259754361699062.4
mean,delta_OC,Europe,1996-2019,252763636138566.94
mean,delta_OC,North America,1996-2000,184298188655852.75
mean,delta_OC,North America,2001-2010,408332297025711.75
mean,delta_OC,North America,2011-2019,343556214091624.56
mean,delta_OC,North America,1996-2019,337367493348375.1
mean,delta_OC,Other,1996-2000,38956663767327.1
mean,delta_OC,Other,2001-2010,4514947098186.914
mean,delta_OC,Other,2011-2019,-32824130876921.28
mean,delta_OC,Other,1996-2019,-2311849503074.45
mean,delta_OC,Russia,1996-2000,361804639258439.75
mean,delta_OC,Russia,2001-2010,337911266219353.25
mean,delta_OC,Russia,2011-2019,517061100889290.25
mean,delta_OC,Russia,1996-2019,410070240270389.3
mean,delta_OC,South America,1996-2000,46232008257750.66
mean,delta_OC,South America,2001-2010,-139425676573834.75
mean,delta_OC,South America,2011-2019,-172682953915846.06
mean,delta_OC,South America,1996-2019,-113218471237175.36
mean,delta_OC,South Asia,1996-2000,-50733066765665.734
mean,delta_OC,South Asia,2001-2010,68618248287447.81
mean,delta_OC,South Asia,2011-2019,62895073755555.87
mean,delta_OC,South Asia,1996-2019,41607200535256.34
mean,delta_OC,Southeast Asia,1996-2000,-138536435096557.5
mean,delta_OC,Southeast Asia,2001-2010,-75550387504578.2
mean,delta_OC,Southeast Asia,2011-2019,7879835307053.63
mean,delta_OC,Southeast Asia,1996-2019,-57386147198545.305
mean,delta_OC,Global,1996-2000,718438508463236.0
mean,delta_OC,Global,2001-2010,1129603196933996.0
mean,delta_OC,Global,2011-2019,1160189829163338.2
mean,delta_OC,Global,1996-2019,1055413873921924.5
mean,delta_C,Africa,1996-2000,-35868236362037.9
mean,delta_C,Africa,2001-2010,-183999528379373.75
mean,delta_C,Africa,2011-2019,-268689486080933.88
mean,delta_C,Africa,1996-2019,-184897576680513.84
mean,delta_C,Australia,1996-2000,-56419771612165.53
mean,delta_C,Australia,2001-2010,10274737211759.148
mean,delta_C,Australia,2011-2019,42636605245091.87
mean,delta_C,Australia,1996-2019,8515748385941.277
mean,delta_C,East Asia,1996-2000,165226500370005.34
mean,delta_C,East Asia,2001-2010,381406410136186.7
mean,delta_C,East Asia,2011-2019,435836635783975.4
mean,delta_C,East Asia,1996-2019,356780263552819.7
mean,delta_C,Europe,1996-2000,381141345834206.2
