pool,model,period,mean,std
delta_C,ISBA-CTRIP,2011-2019,2228358338434208.5,541605653832776.5
delta_C,JSBACH,1993-2000,1434875688964607.2,939616514724490.8
delta_C,JSBACH,2001-2010,1527203499712504.8,928537815735071.2
delta_C,JSBACH,2011-2019,1947867884949392.2,932105359647006.6
delta_C,JULES-ES-1.1,1993-2000,241118983514267.97,1129634605635104.8
delta_C,JULES-ES-1.1,2001-2010,648743484004779.6,814452417288515.9
delta_C,JULES-ES-1.1,2011-2019,903572996569540.1,774847154443163.8
delta_C,LPJ,1993-2000,701230078750245.0,1302937114768979.8
delta_C,LPJ,2001-2010,807838669970083.2,1025575907816252.8
delta_C,LPJ,2011-2019,1023444356937095.8,764378883412080.5
delta_C,LPJ-GUESS,1993-2000,1451682766952259.5,1440499572627563.5
delta_C,LPJ-GUESS,2001-2010,1431575632707394.5,954500717698086.5
delta_C,LPJ-GUESS,2011-2019,2309586200049756.5,727215778527425.4
delta_C,LPX-Bern,1993-2000,1144880689067600.2,994106909882405.0
delta_C,LPX-Bern,2001-2010,595375204737745.2,825193514915374.6
delta_C,LPX-Bern,2011-2019,1144995405623590.8,813415500020822.2
delta_C,OCN,1993-2000,1422082718268297.0,856973244108775.6
delta_C,OCN,2001-2010,1636455447996963.5,619251785312905.5
delta_C,OCN,2011-2019,2454540797166108.5,610416900630466.9
delta_C,ORCHIDEE,1993-2000,1646481781038114.2,761935105844992.9
delta_C,ORCHIDEE,2001-2010,1704072670674617.5,683056269423957.5
delta_C,ORCHIDEE,2011-2019,2216348996386365.8,706840956372550.9
delta_C,ORCHIDEEv3,1993-2000,1075182831260660.5,614016497094457.0
delta_C,ORCHIDEEv3,2001-2010,1173906965701979.2,472544494161598.6
delta_C,ORCHIDEEv3,2011-2019,1486004842897905.0,555872325987698.3
delta_C,SDGVM,1993-2000,1214612829542896.2,877088889242220.0
delta_C,SDGVM,2001-2010,1314839751530185.0,1092856291541025.2
delta_C,SDGVM,2011-2019,1896634598022816.0,747817786828624.5
delta_C,VISIT,1993-2000,1029756681129953.6,1008292776450975.1
delta_C,VISIT,2001-2010,1323440398815540.0,956506689731488.0
delta_C,VISIT,2011-2019,2045394867345296.5,843729300321653.6
delta_C,YIBs,1993-2000,1073914119777327.8,689864999792468.8
delta_C,YIBs,2001-2010,1100815430320824.2,654137362397317.8
delta_C,YIBs,2011-2019,1439108734439725.0,676339800178913.6
delta_B,CABLE-POP,1993-2019,1045648542328206.2,523292657039356.8
delta_B,CLASSIC,1993-2019,1582224308795155.0,1077349989414054.1
delta_B,CLASSIC-N,1993-2019,1428391271108233.5,1128057511395652.5
delta_B,CLM5.0,1993-2019,713649467634920.2,1075879115174908.8
delta_B,DLEM,1993-2019,356568159873637.94,383065298109826.2
delta_B,IBIS,1993-2019,443337508293518.25,632213429699417.5
delta_B,ISAM,1993-2019,978351270106197.4,814021923639169.5
delta_B,ISBA-CTRIP,1993-2019,932217465607357.6,680635213509324.8
delta_B,JSBACH,1993-2019,963964760948776.2,740345537721015.5
delta_B,JULES-ES-1.1,1993-2019,,
delta_B,LPJ,1993-2019,698717219223386.1,911747770092402.6
delta_B,LPJ-GUESS,1993-2019,1619702787702409.5,870791191273076.2
delta_B,LPX-Bern,1993-2019,27284910624673.184,894874047721737.0
delta_B,OCN,1993-2019,990265109973968.6,702872731253910.2
delta_B,ORCHIDEE,1993-2019,899068463353092.8,540263657375379.94
delta_B,ORCHIDEEv3,1993-2019,490240009013089.2,455070008791599.06
delta_B,SDGVM,1993-2019,1114654955573852.5,1208121335453504.8
delta_B,VISIT,1993-2019,1013831326961315.5,627714815512558.8
delta_B,YIBs,1993-2019,-130036625530029.03,315238809047033.2
delta_C,CABLE-POP,1993-2019,1465656888749480.5,750004545831708.6
delta_C,CLASSIC,1993-2019,1967914724661573.2,1427080482954181.8
delta_C,CLASSIC-N,1993-2019,1601477226672387.8,1415850974182839.0
delta_C,CLM5.0,1993-2019,965511994658383.2,893266562626918.1
delta_C,DLEM,1993-2019,696003852856663.2,471924015722127.06
delta_C,IBIS,1993-2019,1438210613682618.0,1067533258428860.2
delta_C,ISAM,1993-2019,296247097344846.56,727467754794213.2
delta_C,ISBA-CTRIP,1993-2019,1646639782410389.2,678423012404949.6
delta_C,JSBACH,1993-2019,1640068573088386.2,924188662998599.0
delta_C,JULES-ES-1.1,1993-2019,612909025084733.4,911141583640133.6
delta_C,LPJ,1993-2019,848119501560616.9,1009368742127893.1
delta_C,LPJ-GUESS,1993-2019,1730203491227401.2,1100510288272956.0
delta_C,LPX-Bern,1993-2019,941398378167798.9,882326984466221.8
delta_C,OCN,1993-2019,1845632718541147.5,803420017843300.0
delta_C,ORCHIDEE,1993-2019,1857767478612162.2,734074039866145.1
delta_C,ORCHIDEEv3,1993-2019,1248687996043934.0,552072277139332.4
delta_C,SDGVM,1993-2019,1479074501253717.0,940669117166787.6
delta_C,VISIT,1993-2019,1477074490492692.5,995942370226748.1
delta_C,YIBs,1993-2019,1205609106347570.0,667406167882064.6
