,mean,std
SOC loss,-0.1572740338213664,0.05577132355527263
organic soils,-0.3030404573414526,0.19835265493817208
soil erosion,0.1096567177554912,0.03964237867318347
HWP & landfill,0.1856140297537425,0.040671512029046016
reservoirs,0.12729498699507388,0.13140608413530827
inland waters,0.10561811565990605,0.025148781615068297
wetlands,0.20048426686603676,0.07746235022226736
total estimate,0.26835362586743133,0.2640557611216199
